;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te;auc_dif
261;{'n_estimators': 184, 'max_depth': 10, 'min_data_in_leaf': 87, 'learning_rate': 0,522795918367347};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,21%;75,11%;75,35%;72,68%;72,98%;"[[65  3  4  1]
 [ 6 41 10  3]
 [ 3  5 50  2]
 [ 1 10 11 22]]";7,79%
227;{'n_estimators': 157, 'max_depth': 12, 'learning_rate': 0,5391020408163265};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,22%;75,95%;77,88%;73,81%;74,42%;"[[63  5  5  0]
 [ 4 44 11  1]
 [ 4  4 50  2]
 [ 2  9 10 23]]";7,78%
5;{'n_estimators': 157, 'max_depth': 8, 'learning_rate': 0,37604081632653064};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,22%;75,53%;75,89%;73,17%;73,45%;"[[64  3  5  1]
 [ 5 42 10  3]
 [ 4  3 51  2]
 [ 3  9 10 22]]";7,78%
57;{'n_estimators': 184, 'max_depth': 7, 'min_data_in_leaf': 337, 'learning_rate': 0,4575714285714286};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,23%;76,37%;76,66%;74,23%;74,69%;"[[65  5  3  0]
 [ 3 44  9  4]
 [ 3  7 48  2]
 [ 1  8 11 24]]";7,77%
287;{'n_estimators': 99, 'max_depth': 4, 'learning_rate': 0,3434285714285714};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,24%;74,68%;74,54%;72,04%;72,37%;"[[68  1  4  0]
 [ 5 40 11  4]
 [ 4  6 47  3]
 [ 2  8 12 22]]";7,76%
198;{'n_estimators': 122, 'max_depth': 14, 'min_data_in_leaf': 39, 'learning_rate': 0,2129795918367347};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,27%;76,79%;78,17%;74,50%;75,01%;"[[65  3  5  0]
 [ 5 43 10  2]
 [ 4  3 51  2]
 [ 1  8 12 23]]";7,73%
72;{'n_estimators': 188, 'max_depth': 2, 'min_data_in_leaf': 106, 'learning_rate': 0,11514285714285714};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,28%;75,53%;75,69%;73,17%;73,55%;"[[66  4  3  0]
 [ 6 41 10  3]
 [ 3  5 49  3]
 [ 1  9 11 23]]";7,72%
117;{'n_estimators': 118, 'max_depth': 15, 'min_data_in_leaf': 212, 'learning_rate': 0,5717142857142857};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,28%;74,26%;74,38%;72,22%;72,63%;"[[64  5  4  0]
 [ 4 40 12  4]
 [ 4  5 48  3]
 [ 1 10  9 24]]";7,72%
83;{'n_estimators': 130, 'max_depth': 13, 'learning_rate': 0,5391020408163265};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,29%;75,53%;76,48%;73,39%;73,91%;"[[63  5  5  0]
 [ 3 45 11  1]
 [ 4  4 48  4]
 [ 4  7 10 23]]";7,71%
177;{'n_estimators': 110, 'max_depth': 10, 'min_data_in_leaf': 164, 'learning_rate': 0,718469387755102};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,31%;74,26%;74,13%;72,07%;72,36%;"[[64  4  4  1]
 [ 5 40 11  4]
 [ 3  5 49  3]
 [ 1  8 12 23]]";7,69%
255;{'n_estimators': 91, 'max_depth': 2, 'min_data_in_leaf': 404, 'learning_rate': 0,31081632653061225};Lighgbm;99,34%;94,17%;94,12%;93,39%;93,68%;"[[284   2   1   2]
 [  2 226   9   3]
 [  3   5 229   3]
 [  4   9  12 150]]";91,65%;75,53%;75,50%;72,95%;73,19%;"[[67  3  3  0]
 [ 5 39 12  4]
 [ 2  5 51  2]
 [ 1 12  9 22]]";7,69%
282;{'n_estimators': 134, 'max_depth': 9, 'min_data_in_leaf': 87, 'learning_rate': 0,14775510204081632};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,32%;75,53%;76,41%;73,17%;73,43%;"[[64  4  5  0]
 [ 6 40 10  4]
 [ 3  3 53  1]
 [ 1  9 12 22]]";7,68%
125;{'n_estimators': 87, 'max_depth': 5, 'learning_rate': 0,6532448979591837};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,35%;75,11%;74,82%;72,90%;73,14%;"[[64  4  4  1]
 [ 4 41 11  4]
 [ 3  4 50  3]
 [ 3  8 10 23]]";7,65%
116;{'n_estimators': 91, 'max_depth': 9, 'learning_rate': 0,3434285714285714};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,35%;72,57%;72,35%;70,02%;70,20%;"[[63  4  5  1]
 [ 6 41 10  3]
 [ 4  4 48  4]
 [ 3  8 13 20]]";7,65%
9;{'n_estimators': 130, 'max_depth': 6, 'min_data_in_leaf': 366, 'learning_rate': 0,1803673469387755};Lighgbm;99,13%;93,01%;92,99%;92,15%;92,46%;"[[283   2   1   3]
 [  2 220  14   4]
 [  3   7 228   2]
 [  4   9  15 147]]";91,48%;75,53%;75,82%;73,40%;73,80%;"[[65  5  3  0]
 [ 5 40 11  4]
 [ 2  6 50  2]
 [ 1  9 10 24]]";7,64%
60;{'n_estimators': 196, 'max_depth': 15, 'min_data_in_leaf': 145, 'learning_rate': 0,6532448979591837};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,45%;74,26%;73,80%;71,77%;72,06%;"[[66  3  3  1]
 [ 5 41 11  3]
 [ 3  6 47  4]
 [ 1  9 12 22]]";7,55%
138;{'n_estimators': 184, 'max_depth': 12, 'min_data_in_leaf': 116, 'learning_rate': 0,033612244897959186};Lighgbm;100,00%;99,89%;99,91%;99,86%;99,89%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  1   0   0 174]]";92,47%;75,53%;76,72%;73,25%;73,70%;"[[65  3  5  0]
 [ 5 40 12  3]
 [ 3  4 51  2]
 [ 3  6 12 23]]";7,53%
267;{'n_estimators': 60, 'max_depth': 20, 'min_data_in_leaf': 327, 'learning_rate': 0,359734693877551};Lighgbm;99,35%;93,75%;93,64%;92,95%;93,22%;"[[283   1   2   3]
 [  2 225   8   5]
 [  2   9 228   1]
 [  1   9  16 149]]";91,83%;75,53%;76,33%;73,77%;74,24%;"[[64  5  4  0]
 [ 6 38 12  4]
 [ 2  6 51  1]
 [ 1  8  9 26]]";7,52%
156;{'n_estimators': 64, 'max_depth': 6, 'min_data_in_leaf': 231, 'learning_rate': 0,2129795918367347};Lighgbm;99,97%;98,83%;98,90%;98,64%;98,76%;"[[288   0   1   0]
 [  1 237   2   0]
 [  0   1 239   0]
 [  1   2   3 169]]";92,46%;73,84%;73,50%;71,66%;71,97%;"[[66  3  4  0]
 [ 6 38 11  5]
 [ 4  6 47  3]
 [ 2  8 10 24]]";7,50%
54;{'n_estimators': 122, 'max_depth': 18, 'min_data_in_leaf': 125, 'learning_rate': 0,2782040816326531};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,51%;75,11%;75,97%;72,68%;73,07%;"[[65  3  5  0]
 [ 6 41 11  2]
 [ 3  4 50  3]
 [ 2  9 11 22]]";7,49%
137;{'n_estimators': 137, 'max_depth': 4, 'learning_rate': 0,6858571428571428};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,58%;75,95%;77,01%;73,89%;74,36%;"[[64  3  5  1]
 [ 5 41 12  2]
 [ 3  4 51  2]
 [ 3  7 10 24]]";7,42%
153;{'n_estimators': 184, 'max_depth': 19, 'min_data_in_leaf': 347, 'learning_rate': 0,11514285714285714};Lighgbm;98,96%;92,69%;92,71%;91,83%;92,14%;"[[281   2   3   3]
 [  3 219  14   4]
 [  2   7 229   2]
 [  2  10  17 146]]";91,55%;74,26%;74,15%;71,77%;72,09%;"[[66  4  3  0]
 [ 4 40 12  4]
 [ 3  6 48  3]
 [ 1 10 11 22]]";7,41%
224;{'n_estimators': 122, 'max_depth': 15, 'learning_rate': 0,441265306122449};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,61%;76,79%;77,55%;74,27%;74,64%;"[[66  3  3  1]
 [ 4 43 11  2]
 [ 4  3 51  2]
 [ 3  7 12 22]]";7,39%
168;{'n_estimators': 10, 'max_depth': 18, 'min_data_in_leaf': 164, 'learning_rate': 0,2618979591836735};Lighgbm;97,22%;84,22%;84,65%;82,56%;82,93%;"[[262   9  12   6]
 [ 10 194  29   7]
 [  0  10 226   4]
 [  6  24  32 113]]";89,83%;72,57%;73,60%;70,03%;70,22%;"[[65  4  4  0]
 [ 7 35 15  3]
 [ 4  3 51  2]
 [ 4  9 10 21]]";7,39%
96;{'n_estimators': 99, 'max_depth': 19, 'min_data_in_leaf': 87, 'learning_rate': 0,5554081632653062};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,64%;77,22%;77,43%;74,99%;75,30%;"[[64  4  4  1]
 [ 4 45  8  3]
 [ 3  4 51  2]
 [ 3  7 11 23]]";7,36%
12;{'n_estimators': 141, 'max_depth': 13, 'min_data_in_leaf': 270, 'learning_rate': 0,604326530612245};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,65%;78,06%;78,55%;76,05%;76,56%;"[[67  2  3  1]
 [ 4 42 11  3]
 [ 3  6 50  1]
 [ 2  7  9 26]]";7,35%
264;{'n_estimators': 157, 'max_depth': 9, 'min_data_in_leaf': 231, 'learning_rate': 0,2129795918367347};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,74%;74,26%;74,25%;72,00%;72,41%;"[[65  3  4  1]
 [ 4 42 11  3]
 [ 5  6 46  3]
 [ 2  9 10 23]]";7,26%
66;{'n_estimators': 68, 'max_depth': 8, 'min_data_in_leaf': 423, 'learning_rate': 0,32712244897959186};Lighgbm;98,77%;91,10%;91,05%;89,96%;90,32%;"[[279   1   6   3]
 [  4 216  15   5]
 [  3   5 228   4]
 [  6  18  14 137]]";91,53%;75,53%;74,87%;73,10%;73,21%;"[[67  1  4  1]
 [ 4 38 13  5]
 [ 2  4 51  3]
 [ 1 10 10 23]]";7,25%
141;{'n_estimators': 37, 'max_depth': 2, 'min_data_in_leaf': 241, 'learning_rate': 0,1803673469387755};Lighgbm;98,66%;90,36%;90,51%;89,34%;89,69%;"[[277   2   7   3]
 [  6 208  20   6]
 [  2   7 229   2]
 [  2  16  18 139]]";91,46%;72,57%;71,84%;70,10%;70,23%;"[[66  4  3  0]
 [ 6 36 13  5]
 [ 3  5 48  4]
 [ 2  9 11 22]]";7,19%
93;{'n_estimators': 103, 'max_depth': 8, 'min_data_in_leaf': 443, 'learning_rate': 0,2618979591836735};Lighgbm;98,92%;92,58%;92,44%;91,61%;91,92%;"[[283   1   4   1]
 [  3 220  12   5]
 [  2   6 227   5]
 [  4  14  13 144]]";91,76%;74,26%;73,85%;71,84%;72,03%;"[[65  5  3  0]
 [ 5 39 12  4]
 [ 2  4 50  4]
 [ 1 10 11 22]]";7,15%
33;{'n_estimators': 200, 'max_depth': 18, 'min_data_in_leaf': 39, 'learning_rate': 0,6369387755102041};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";92,85%;74,68%;74,79%;72,26%;72,48%;"[[65  3  5  0]
 [ 6 39 12  3]
 [ 2  3 51  4]
 [ 1 10 11 22]]";7,15%
105;{'n_estimators': 25, 'max_depth': 15, 'min_data_in_leaf': 337, 'learning_rate': 0,5717142857142857};Lighgbm;97,77%;87,18%;87,06%;86,24%;86,50%;"[[269   7   8   5]
 [ 12 198  23   7]
 [  3  10 220   7]
 [  5  17  17 136]]";90,66%;73,42%;72,73%;71,39%;71,65%;"[[66  4  3  0]
 [ 5 37 14  4]
 [ 2  6 46  6]
 [ 1  8 10 25]]";7,11%
150;{'n_estimators': 118, 'max_depth': 6, 'min_data_in_leaf': 222, 'learning_rate': 0,441265306122449};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";93,00%;75,95%;76,14%;73,66%;74,07%;"[[65  4  3  1]
 [ 5 44  8  3]
 [ 4  6 48  2]
 [ 1  8 12 23]]";7,00%
90;{'n_estimators': 64, 'max_depth': 17, 'min_data_in_leaf': 462, 'learning_rate': 0,3434285714285714};Lighgbm;98,12%;89,41%;89,29%;88,23%;88,58%;"[[276   3   6   4]
 [  7 211  17   5]
 [  4   7 223   6]
 [  6  19  16 134]]";91,12%;74,68%;72,94%;71,96%;71,95%;"[[67  3  1  2]
 [ 5 40 10  5]
 [ 3  4 49  4]
 [ 1 11 11 21]]";7,00%
89;{'n_estimators': 10, 'max_depth': 2, 'learning_rate': 0,017306122448979593};XGBoost;91,09%;73,62%;74,77%;71,24%;71,39%;"[[247  11  25   6]
 [ 28 150  50  12]
 [  2  18 215   5]
 [  8  31  53  83]]";84,10%;66,67%;65,74%;64,19%;63,75%;"[[61  6  4  2]
 [ 6 27 20  7]
 [ 2  5 51  2]
 [ 2 11 12 19]]";6,99%
84;{'n_estimators': 188, 'max_depth': 10, 'min_data_in_leaf': 193, 'learning_rate': 0,3923469387755102};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";93,05%;73,42%;73,89%;71,16%;71,53%;"[[63  5  4  1]
 [ 3 40 14  3]
 [ 2  6 49  3]
 [ 1 10 11 22]]";6,95%
147;{'n_estimators': 56, 'max_depth': 11, 'min_data_in_leaf': 443, 'learning_rate': 0,3923469387755102};Lighgbm;98,54%;90,78%;90,69%;89,84%;90,15%;"[[279   2   5   3]
 [  6 212  16   6]
 [  3   9 224   4]
 [  4  14  15 142]]";91,62%;74,26%;72,71%;71,70%;71,74%;"[[67  3  2  1]
 [ 5 39 11  5]
 [ 2  4 48  6]
 [ 2  8 12 22]]";6,92%
207;{'n_estimators': 118, 'max_depth': 4, 'min_data_in_leaf': 125, 'learning_rate': 0,3434285714285714};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";93,09%;75,11%;75,56%;72,98%;73,31%;"[[63  6  4  0]
 [ 5 41 10  4]
 [ 3  4 51  2]
 [ 1  9 11 23]]";6,91%
69;{'n_estimators': 64, 'max_depth': 8, 'min_data_in_leaf': 327, 'learning_rate': 0,13144897959183674};Lighgbm;96,94%;84,11%;84,29%;82,48%;82,94%;"[[269   6   9   5]
 [ 13 193  28   6]
 [  3  16 215   6]
 [  5  27  26 117]]";90,03%;75,11%;75,01%;72,45%;72,57%;"[[66  3  4  0]
 [ 3 39 13  5]
 [ 2  4 52  2]
 [ 2 10 11 21]]";6,91%
243;{'n_estimators': 64, 'max_depth': 9, 'min_data_in_leaf': 116, 'learning_rate': 0,017306122448979593};Lighgbm;97,01%;81,14%;82,55%;79,03%;79,52%;"[[262   9  13   5]
 [ 18 181  35   6]
 [  2  15 223   0]
 [  5  29  41 100]]";90,18%;72,57%;73,56%;69,65%;69,73%;"[[66  3  4  0]
 [ 6 36 15  3]
 [ 3  4 51  2]
 [ 2 10 13 19]]";6,83%
78;{'n_estimators': 13, 'max_depth': 15, 'min_data_in_leaf': 212, 'learning_rate': 0,29451020408163264};Lighgbm;97,42%;85,17%;85,42%;83,47%;83,95%;"[[272   4  10   3]
 [ 11 197  24   8]
 [  3  15 218   4]
 [  7  24  27 117]]";90,60%;75,53%;75,50%;73,70%;73,97%;"[[65  4  4  0]
 [ 5 38 12  5]
 [ 2  5 50  3]
 [ 3  5 10 26]]";6,82%
18;{'n_estimators': 99, 'max_depth': 8, 'min_data_in_leaf': 125, 'learning_rate': 0,359734693877551};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";93,20%;74,26%;73,97%;71,99%;72,25%;"[[63  5  4  1]
 [ 4 43 10  3]
 [ 3  5 48  4]
 [ 3  8 11 22]]";6,80%
252;{'n_estimators': 172, 'max_depth': 6, 'min_data_in_leaf': 135, 'learning_rate': 0,5391020408163265};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";93,27%;75,11%;75,43%;72,98%;73,40%;"[[65  3  5  0]
 [ 6 40 11  3]
 [ 4  4 49  3]
 [ 2 10  8 24]]";6,73%
253;{'n_estimators': 64, 'max_depth': 4, 'min_samples_leaf': 10, 'criterion': 'entropy'};RandomForest;95,69%;76,80%;80,84%;73,84%;73,96%;"[[257   9  19   4]
 [ 13 160  64   3]
 [  0   6 234   0]
 [  6  32  63  74]]";88,97%;72,57%;74,30%;68,97%;68,47%;"[[67  2  4  0]
 [ 3 35 19  3]
 [ 1  3 55  1]
 [ 1 13 15 15]]";6,72%
276;{'n_estimators': 106, 'max_depth': 10, 'min_data_in_leaf': 366, 'learning_rate': 0,08253061224489797};Lighgbm;96,58%;83,90%;84,58%;82,25%;82,78%;"[[268   8  10   3]
 [ 14 189  31   6]
 [  3  14 219   4]
 [  9  21  29 116]]";89,89%;74,68%;75,04%;71,96%;72,08%;"[[67  2  4  0]
 [ 5 37 14  4]
 [ 2  4 52  2]
 [ 3  9 11 21]]";6,68%
233;{'n_estimators': 60, 'max_depth': 1, 'learning_rate': 0,2129795918367347};XGBoost;97,78%;85,17%;85,87%;83,62%;84,09%;"[[268   5  12   4]
 [ 10 191  32   7]
 [  2   9 226   3]
 [  5  20  31 119]]";91,15%;74,26%;75,97%;71,77%;72,11%;"[[66  3  4  0]
 [ 6 36 15  3]
 [ 2  5 52  1]
 [ 4  6 12 22]]";6,63%
114;{'n_estimators': 91, 'max_depth': 14, 'min_data_in_leaf': 423, 'learning_rate': 0,14775510204081632};Lighgbm;97,42%;86,02%;86,30%;84,52%;84,96%;"[[271   7   9   2]
 [ 10 196  25   9]
 [  4   9 223   4]
 [  8  19  26 122]]";90,81%;75,11%;74,60%;72,30%;72,45%;"[[68  2  3  0]
 [ 4 39 12  5]
 [ 3  5 50  2]
 [ 1 12 10 21]]";6,61%
144;{'n_estimators': 99, 'max_depth': 11, 'min_data_in_leaf': 222, 'learning_rate': 0,033612244897959186};Lighgbm;97,23%;84,00%;84,73%;82,28%;82,76%;"[[266   9  10   4]
 [ 16 190  28   6]
 [  2  11 224   3]
 [  7  22  33 113]]";90,89%;75,95%;77,36%;73,51%;73,86%;"[[65  4  4  0]
 [ 5 40 13  2]
 [ 2  3 53  2]
 [ 3  8 11 22]]";6,34%
135;{'n_estimators': 103, 'max_depth': 18, 'min_data_in_leaf': 433, 'learning_rate': 0,09883673469387755};Lighgbm;96,53%;83,16%;83,61%;81,44%;81,93%;"[[266  12   9   2]
 [ 16 188  28   8]
 [  4  13 218   5]
 [ 10  25  27 113]]";90,25%;73,84%;73,53%;71,05%;71,02%;"[[66  2  4  1]
 [ 6 37 12  5]
 [ 2  5 52  1]
 [ 3 10 11 20]]";6,29%
40;{'n_estimators': 188, 'max_depth': 17, 'min_samples_leaf': 39, 'criterion': 'gini'};RandomForest;95,33%;77,75%;80,63%;75,10%;75,31%;"[[252  17  17   3]
 [ 16 174  46   4]
 [  1  11 228   0]
 [  7  39  49  80]]";89,17%;73,00%;74,78%;69,68%;69,40%;"[[65  3  5  0]
 [ 2 37 17  4]
 [ 1  4 55  0]
 [ 1 14 13 16]]";6,16%
225;{'n_estimators': 87, 'max_depth': 13, 'min_data_in_leaf': 433, 'learning_rate': 0,09883673469387755};Lighgbm;96,07%;82,63%;82,90%;80,83%;81,27%;"[[267  11   9   2]
 [ 18 185  28   9]
 [  2  15 217   6]
 [  9  27  28 111]]";89,95%;73,42%;72,58%;70,63%;70,59%;"[[66  3  3  1]
 [ 6 37 12  5]
 [ 2  5 51  2]
 [ 3 11 10 20]]";6,13%
13;{'n_estimators': 48, 'max_depth': 20, 'min_samples_leaf': 39, 'criterion': 'gini'};RandomForest;94,75%;75,21%;77,80%;72,35%;72,36%;"[[251  15  18   5]
 [ 23 162  50   5]
 [  2  14 224   0]
 [  7  41  54  73]]";88,63%;70,46%;74,81%;67,33%;67,20%;"[[61  6  6  0]
 [ 3 37 18  2]
 [ 0  6 54  0]
 [ 1 15 13 15]]";6,12%
183;{'n_estimators': 10, 'max_depth': 7, 'min_data_in_leaf': 318, 'learning_rate': 0,4901836734693878};Lighgbm;94,64%;78,50%;77,82%;76,65%;76,89%;"[[258  12  15   4]
 [ 21 175  27  17]
 [  3  20 204  13]
 [  7  31  33 104]]";88,55%;73,42%;72,97%;70,71%;70,61%;"[[67  1  4  1]
 [ 6 34 14  6]
 [ 2  5 52  1]
 [ 3  9 11 21]]";6,08%
279;{'n_estimators': 137, 'max_depth': 14, 'min_data_in_leaf': 375, 'learning_rate': 0,033612244897959186};Lighgbm;94,60%;78,39%;79,17%;76,26%;76,70%;"[[259  12  16   2]
 [ 26 173  33   8]
 [  3  19 211   7]
 [  8  32  38  97]]";88,79%;74,68%;74,33%;71,73%;71,76%;"[[68  2  3  0]
 [ 4 38 14  4]
 [ 2  4 51  3]
 [ 3 10 11 20]]";5,81%
100;{'n_estimators': 122, 'max_depth': 3, 'min_samples_leaf': 1, 'criterion': 'entropy'};RandomForest;93,47%;71,61%;76,94%;68,03%;67,42%;"[[251  18  18   2]
 [ 16 145  76   3]
 [  0  13 227   0]
 [  7  38  77  53]]";87,90%;68,78%;76,45%;64,68%;63,25%;"[[64  4  5  0]
 [ 4 33 23  0]
 [ 1  3 56  0]
 [ 1 16 17 10]]";5,57%
102;{'n_estimators': 13, 'max_depth': 18, 'min_data_in_leaf': 414, 'learning_rate': 0,37604081632653064};Lighgbm;94,09%;77,33%;77,37%;75,28%;75,60%;"[[258  12  15   4]
 [ 30 165  32  13]
 [  2  22 209   7]
 [  9  34  34  98]]";88,53%;73,42%;73,25%;70,94%;71,25%;"[[66  3  3  1]
 [ 5 39 13  3]
 [ 4  6 47  3]
 [ 3 10  9 22]]";5,56%
259;{'n_estimators': 33, 'max_depth': 17, 'min_samples_leaf': 58, 'criterion': 'entropy'};RandomForest;93,08%;72,67%;77,11%;69,35%;68,92%;"[[251  21  16   1]
 [ 31 149  57   3]
 [  2  12 226   0]
 [  8  41  66  60]]";87,58%;69,62%;71,21%;66,20%;65,45%;"[[65  2  6  0]
 [ 8 30 18  4]
 [ 1  4 55  0]
 [ 2 13 14 15]]";5,49%
126;{'n_estimators': 25, 'max_depth': 6, 'min_data_in_leaf': 318, 'learning_rate': 0,09883673469387755};Lighgbm;93,54%;76,17%;76,52%;73,68%;73,85%;"[[257  13  13   6]
 [ 28 162  40  10]
 [  2  18 214   6]
 [  9  35  45  86]]";88,07%;74,68%;74,30%;71,73%;71,69%;"[[68  2  3  0]
 [ 4 37 14  5]
 [ 2  4 52  2]
 [ 3 10 11 20]]";5,47%
196;{'n_estimators': 157, 'max_depth': 15, 'min_samples_leaf': 49, 'criterion': 'entropy'};RandomForest;94,29%;75,11%;78,34%;71,98%;71,81%;"[[255  15  16   3]
 [ 27 158  51   4]
 [  1  11 228   0]
 [  7  40  60  68]]";88,90%;71,73%;74,95%;68,21%;67,76%;"[[66  3  4  0]
 [ 6 34 18  2]
 [ 0  5 55  0]
 [ 1 14 14 15]]";5,38%
174;{'n_estimators': 161, 'max_depth': 9, 'min_data_in_leaf': 125, 'learning_rate': 0,001};Lighgbm;92,27%;62,92%;48,99%;56,93%;51,35%;"[[280   4   5   0]
 [ 80 130  30   0]
 [ 35  21 184   0]
 [ 96  30  49   0]]";86,91%;56,96%;46,05%;51,20%;45,91%;"[[68  2  3  0]
 [22 25 13  0]
 [13  5 42  0]
 [29  2 13  0]]";5,36%
154;{'n_estimators': 44, 'max_depth': 15, 'min_samples_leaf': 68, 'criterion': 'entropy'};RandomForest;92,36%;69,81%;75,37%;65,93%;64,51%;"[[248  28  13   0]
 [ 38 142  58   2]
 [  2  12 226   0]
 [  7  51  74  43]]";87,18%;65,82%;73,10%;61,84%;60,35%;"[[63  5  5  0]
 [ 9 29 22  0]
 [ 1  5 54  0]
 [ 2 16 16 10]]";5,18%
201;{'n_estimators': 13, 'max_depth': 2, 'min_data_in_leaf': 250, 'learning_rate': 0,09883673469387755};Lighgbm;93,21%;75,42%;75,65%;72,96%;73,10%;"[[257  12  13   7]
 [ 35 156  39  10]
 [  2  19 213   6]
 [  6  38  45  86]]";88,88%;73,42%;74,14%;70,71%;70,68%;"[[65  4  4  0]
 [ 6 35 15  4]
 [ 1  4 54  1]
 [ 3 11 10 20]]";4,33%
223;{'n_estimators': 141, 'max_depth': 9, 'min_samples_leaf': 68, 'criterion': 'gini'};RandomForest;92,95%;72,88%;76,99%;69,68%;69,26%;"[[244  25  17   3]
 [ 29 158  51   2]
 [  0  14 226   0]
 [  7  46  62  60]]";88,68%;70,04%;73,53%;66,31%;65,30%;"[[63  6  4  0]
 [ 5 35 18  2]
 [ 0  4 56  0]
 [ 1 18 13 12]]";4,27%
266;{'n_estimators': 25, 'max_depth': 1, 'learning_rate': 0,13144897959183674};XGBoost;93,16%;75,85%;77,46%;73,40%;73,53%;"[[253  12  18   6]
 [ 23 152  56   9]
 [  1  11 226   2]
 [  5  36  49  85]]";88,59%;72,15%;70,95%;69,01%;68,58%;"[[67  1  4  1]
 [ 4 33 16  7]
 [ 1  4 53  2]
 [ 2 11 13 18]]";4,57%
