;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te;auc_dif
51;{'n_estimators': 134, 'max_depth': 4, 'min_data_in_leaf': 183, 'learning_rate': 0,7836938775510204};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,02%;70,04%;67,48%;66,77%;66,23%;"[[65  4  4  0]
 [ 9 35 10  6]
 [ 1  3 50  6]
 [ 3 13 12 16]]";9,98%
284;{'n_estimators': 165, 'max_depth': 6, 'learning_rate': 0,017306122448979593};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,25%;70,04%;70,89%;66,92%;66,17%;"[[63  6  3  1]
 [11 31 14  4]
 [ 2  2 56  0]
 [ 5  8 15 16]]";10,75%
194;{'n_estimators': 21, 'max_depth': 15, 'learning_rate': 0,5880204081632653};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,14%;70,04%;68,12%;66,84%;66,14%;"[[64  5  3  1]
 [ 9 33 11  7]
 [ 2  3 53  2]
 [ 5 10 13 16]]";9,86%
227;{'n_estimators': 157, 'max_depth': 12, 'learning_rate': 0,5391020408163265};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,18%;69,62%;67,70%;66,43%;66,07%;"[[64  4  4  1]
 [ 7 37 11  5]
 [ 3  4 48  5]
 [ 3 11 14 16]]";8,82%
282;{'n_estimators': 134, 'max_depth': 9, 'min_data_in_leaf': 87, 'learning_rate': 0,14775510204081632};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,02%;70,04%;67,67%;66,62%;66,06%;"[[65  4  2  2]
 [ 7 37 11  5]
 [ 4  3 49  4]
 [ 4 11 14 15]]";9,98%
204;{'n_estimators': 99, 'max_depth': 4, 'min_data_in_leaf': 87, 'learning_rate': 0,4086530612244898};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,32%;70,04%;69,18%;66,62%;66,05%;"[[65  4  4  0]
 [ 8 35 12  5]
 [ 3  4 51  2]
 [ 3 13 13 15]]";9,68%
36;{'n_estimators': 68, 'max_depth': 16, 'min_data_in_leaf': 395, 'learning_rate': 0,4575714285714286};Lighgbm;99,84%;96,40%;96,45%;95,95%;96,16%;"[[285   1   2   1]
 [  5 227   6   2]
 [  1   0 238   1]
 [  2   9   4 160]]";89,15%;69,20%;66,37%;66,31%;65,99%;"[[66  3  3  1]
 [10 33 11  6]
 [ 2  1 46 11]
 [ 3 13  9 19]]";10,69%
185;{'n_estimators': 122, 'max_depth': 19, 'learning_rate': 0,4901836734693878};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";91,04%;70,04%;68,17%;66,62%;65,88%;"[[65  3  4  1]
 [ 9 34 11  6]
 [ 2  3 52  3]
 [ 4 10 15 15]]";8,96%
50;{'n_estimators': 83, 'max_depth': 11, 'learning_rate': 0,7021632653061225};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,78%;70,04%;68,02%;66,61%;65,83%;"[[63  5  4  1]
 [ 8 37 10  5]
 [ 2  3 52  3]
 [ 4 14 12 14]]";9,22%
246;{'n_estimators': 33, 'max_depth': 12, 'min_data_in_leaf': 154, 'learning_rate': 0,7836938775510204};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,55%;70,04%;66,48%;66,46%;65,82%;"[[65  3  4  1]
 [ 7 39  8  6]
 [ 1  4 48  7]
 [ 5 14 11 14]]";10,45%
141;{'n_estimators': 37, 'max_depth': 2, 'min_data_in_leaf': 241, 'learning_rate': 0,1803673469387755};Lighgbm;98,90%;90,15%;90,91%;89,11%;89,61%;"[[274   2   8   5]
 [ 10 208  21   1]
 [  5   2 232   1]
 [  3  11  24 137]]";89,86%;69,62%;67,53%;66,35%;65,76%;"[[65  3  3  2]
 [ 7 33 15  5]
 [ 1  3 51  5]
 [ 3 11 14 16]]";9,04%
293;{'n_estimators': 56, 'max_depth': 2, 'learning_rate': 0,7673877551020408};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,54%;69,62%;68,09%;66,35%;65,72%;"[[67  4  2  0]
 [ 9 30 16  5]
 [ 3  2 51  4]
 [ 4 12 11 17]]";9,46%
144;{'n_estimators': 99, 'max_depth': 11, 'min_data_in_leaf': 222, 'learning_rate': 0,033612244897959186};Lighgbm;97,38%;83,90%;85,67%;81,66%;82,20%;"[[273   2  11   3]
 [ 15 183  34   8]
 [  7   0 233   0]
 [ 12  16  44 103]]";89,32%;70,04%;70,48%;66,77%;65,72%;"[[65  3  3  2]
 [ 9 28 19  4]
 [ 2  1 57  0]
 [ 4 10 14 16]]";8,06%
114;{'n_estimators': 91, 'max_depth': 14, 'min_data_in_leaf': 423, 'learning_rate': 0,14775510204081632};Lighgbm;97,71%;86,55%;87,30%;84,88%;85,34%;"[[271   6  10   2]
 [ 12 194  26   8]
 [  4   0 234   2]
 [  6  20  31 118]]";88,53%;68,78%;67,54%;66,27%;65,71%;"[[63  6  4  0]
 [10 28 16  6]
 [ 2  1 52  5]
 [ 3 10 11 20]]";9,17%
9;{'n_estimators': 130, 'max_depth': 6, 'min_data_in_leaf': 366, 'learning_rate': 0,1803673469387755};Lighgbm;99,51%;93,33%;93,44%;92,51%;92,82%;"[[280   1   5   3]
 [  8 217  11   4]
 [  2   0 237   1]
 [  2  13  13 147]]";90,00%;69,62%;67,01%;66,35%;65,68%;"[[67  2  3  1]
 [10 31 13  6]
 [ 2  1 50  7]
 [ 3 12 12 17]]";9,51%
8;{'n_estimators': 60, 'max_depth': 19, 'learning_rate': 0,718469387755102};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,37%;70,04%;67,70%;66,39%;65,64%;"[[66  3  3  1]
 [ 7 36 12  5]
 [ 2  4 50  4]
 [ 5 11 14 14]]";9,63%
240;{'n_estimators': 33, 'max_depth': 4, 'min_data_in_leaf': 116, 'learning_rate': 0,7673877551020408};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,11%;69,62%;66,93%;66,35%;65,64%;"[[63  5  4  1]
 [ 7 35 11  7]
 [ 1  2 52  5]
 [ 3 12 14 15]]";10,89%
266;{'n_estimators': 25, 'max_depth': 1, 'learning_rate': 0,13144897959183674};XGBoost;93,41%;75,64%;80,28%;72,98%;73,18%;"[[263   4  21   1]
 [ 37 135  59   9]
 [  7   1 232   0]
 [ 11  14  66  84]]";86,97%;70,46%;71,99%;66,88%;65,60%;"[[67  2  3  1]
 [ 9 27 20  4]
 [ 1  1 58  0]
 [ 4  8 17 15]]";6,44%
198;{'n_estimators': 122, 'max_depth': 14, 'min_data_in_leaf': 39, 'learning_rate': 0,2129795918367347};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,07%;69,62%;68,21%;66,20%;65,56%;"[[65  6  2  0]
 [ 8 34 13  5]
 [ 3  3 51  3]
 [ 4 12 13 15]]";9,93%
278;{'n_estimators': 60, 'max_depth': 3, 'learning_rate': 0,6858571428571428};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,25%;69,20%;67,46%;66,01%;65,56%;"[[66  3  3  1]
 [11 32 13  4]
 [ 2  4 49  5]
 [ 3 12 12 17]]";10,75%
203;{'n_estimators': 161, 'max_depth': 5, 'learning_rate': 0,7347755102040816};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,48%;69,62%;67,72%;66,20%;65,51%;"[[65  4  3  1]
 [ 9 34 13  4]
 [ 2  2 51  5]
 [ 4 11 14 15]]";10,52%
207;{'n_estimators': 118, 'max_depth': 4, 'min_data_in_leaf': 125, 'learning_rate': 0,3434285714285714};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,00%;69,62%;67,56%;66,20%;65,43%;"[[63  6  4  0]
 [ 8 36  9  7]
 [ 2  4 52  2]
 [ 4 14 12 14]]";10,00%
60;{'n_estimators': 196, 'max_depth': 15, 'min_data_in_leaf': 145, 'learning_rate': 0,6532448979591837};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,41%;70,04%;66,39%;66,31%;65,24%;"[[65  4  2  2]
 [10 35  9  6]
 [ 2  1 53  4]
 [ 5 15 11 13]]";9,59%
162;{'n_estimators': 56, 'max_depth': 19, 'min_data_in_leaf': 29, 'learning_rate': 0,5717142857142857};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,63%;69,20%;67,36%;65,86%;65,18%;"[[64  5  4  0]
 [ 8 34 12  6]
 [ 4  1 51  4]
 [ 5 11 13 15]]";10,37%
230;{'n_estimators': 141, 'max_depth': 8, 'learning_rate': 0,7510816326530613};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,38%;69,62%;66,79%;65,90%;65,13%;"[[67  3  2  1]
 [ 8 35 12  5]
 [ 1  5 49  5]
 [ 5 11 14 14]]";9,62%
261;{'n_estimators': 184, 'max_depth': 10, 'min_data_in_leaf': 87, 'learning_rate': 0,522795918367347};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,05%;69,20%;66,79%;65,78%;65,11%;"[[65  4  3  1]
 [10 34 10  6]
 [ 3  3 50  4]
 [ 5 11 13 15]]";10,95%
44;{'n_estimators': 25, 'max_depth': 15, 'learning_rate': 0,049918367346938775};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";87,28%;69,20%;67,77%;66,08%;65,10%;"[[63  6  3  1]
 [12 29 14  5]
 [ 2  0 56  2]
 [ 4 14 10 16]]";12,72%
66;{'n_estimators': 68, 'max_depth': 8, 'min_data_in_leaf': 423, 'learning_rate': 0,32712244897959186};Lighgbm;99,06%;91,63%;91,91%;90,57%;90,96%;"[[278   1   7   3]
 [  8 212  15   5]
 [  2   1 236   1]
 [  3  14  19 139]]";89,20%;67,93%;65,64%;65,59%;65,08%;"[[63  5  3  2]
 [10 29 12  9]
 [ 3  1 48  8]
 [ 2 10 11 21]]";9,86%
267;{'n_estimators': 60, 'max_depth': 20, 'min_data_in_leaf': 327, 'learning_rate': 0,359734693877551};Lighgbm;99,68%;95,13%;95,34%;94,58%;94,87%;"[[283   1   4   1]
 [  8 221   9   2]
 [  1   0 238   1]
 [  3   9   7 156]]";89,55%;68,78%;66,14%;65,52%;65,06%;"[[65  4  4  0]
 [ 7 34 13  6]
 [ 2  2 48  8]
 [ 2 13 13 16]]";10,13%
79;{'n_estimators': 10, 'max_depth': 18, 'min_samples_leaf': 1, 'criterion': 'gini'};RandomForest;99,98%;99,05%;99,06%;98,89%;98,97%;"[[288   0   1   0]
 [  1 238   1   0]
 [  0   0 239   1]
 [  1   3   1 170]]";85,34%;68,35%;67,85%;65,40%;65,04%;"[[65  4  2  2]
 [13 29 15  3]
 [ 2  6 50  2]
 [ 5 11 10 18]]";14,64%
105;{'n_estimators': 25, 'max_depth': 15, 'min_data_in_leaf': 337, 'learning_rate': 0,5717142857142857};Lighgbm;98,40%;88,98%;88,99%;87,87%;88,20%;"[[275   5   5   4]
 [ 10 203  19   8]
 [  4   6 227   3]
 [  3  15  22 135]]";88,65%;67,93%;65,55%;65,21%;65,04%;"[[64  5  3  1]
 [ 7 34 14  5]
 [ 3  2 44 11]
 [ 4 11 10 19]]";9,76%
0;{'n_estimators': 91, 'max_depth': 4, 'min_data_in_leaf': 385, 'learning_rate': 0,6369387755102041};Lighgbm;100,00%;99,89%;99,90%;99,86%;99,88%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   1   0 174]]";88,95%;67,93%;65,29%;65,21%;65,02%;"[[64  3  4  2]
 [ 7 34 12  7]
 [ 2  3 44 11]
 [ 3 12 10 19]]";11,05%
292;{'n_estimators': 180, 'max_depth': 17, 'min_samples_leaf': 1, 'criterion': 'entropy'};RandomForest;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,92%;69,20%;71,13%;65,86%;65,01%;"[[64  4  5  0]
 [ 8 29 19  4]
 [ 2  2 56  0]
 [ 2 11 16 15]]";10,08%
92;{'n_estimators': 13, 'max_depth': 20, 'learning_rate': 0,1966734693877551};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";88,78%;68,78%;67,07%;65,82%;64,99%;"[[63  7  2  1]
 [12 29 13  6]
 [ 2  1 54  3]
 [ 4 10 13 17]]";11,22%
143;{'n_estimators': 176, 'max_depth': 14, 'learning_rate': 0,1966734693877551};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,43%;69,20%;67,94%;65,86%;64,96%;"[[64  5  3  1]
 [ 9 31 15  5]
 [ 2  2 54  2]
 [ 4 12 13 15]]";9,57%
119;{'n_estimators': 13, 'max_depth': 5, 'learning_rate': 0,6206326530612245};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";88,62%;69,62%;68,00%;66,05%;64,89%;"[[65  4  3  1]
 [ 9 31 15  5]
 [ 2  1 55  2]
 [ 7 12 11 14]]";11,38%
201;{'n_estimators': 13, 'max_depth': 2, 'min_data_in_leaf': 250, 'learning_rate': 0,09883673469387755};Lighgbm;92,32%;73,73%;79,07%;70,61%;70,42%;"[[265   1  22   1]
 [ 46 127  61   6]
 [  7   1 232   0]
 [ 13  21  69  72]]";86,48%;70,04%;71,60%;66,32%;64,82%;"[[67  3  3  0]
 [13 27 16  4]
 [ 2  0 58  0]
 [ 5  9 16 14]]";5,84%
180;{'n_estimators': 52, 'max_depth': 5, 'min_data_in_leaf': 241, 'learning_rate': 0,4086530612244898};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,81%;68,78%;64,99%;65,44%;64,80%;"[[64  3  3  3]
 [ 8 34 10  8]
 [ 1  2 50  7]
 [ 3 16 10 15]]";10,19%
117;{'n_estimators': 118, 'max_depth': 15, 'min_data_in_leaf': 212, 'learning_rate': 0,5717142857142857};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";88,86%;68,35%;64,86%;65,18%;64,77%;"[[64  3  2  4]
 [ 8 35 10  7]
 [ 1  3 47  9]
 [ 3 14 11 16]]";11,14%
215;{'n_estimators': 13, 'max_depth': 17, 'learning_rate': 0,11514285714285714};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";88,43%;68,78%;67,29%;65,51%;64,64%;"[[63  6  3  1]
 [12 31 12  5]
 [ 2  2 54  2]
 [ 5 13 11 15]]";11,57%
183;{'n_estimators': 10, 'max_depth': 7, 'min_data_in_leaf': 318, 'learning_rate': 0,4901836734693878};Lighgbm;94,91%;79,56%;80,53%;77,53%;77,87%;"[[263   9  13   4]
 [ 27 163  38  12]
 [ 11   3 223   3]
 [  8  24  41 102]]";88,25%;68,78%;67,85%;65,59%;64,62%;"[[64  4  4  1]
 [10 28 17  5]
 [ 1  2 55  2]
 [ 3 12 13 16]]";6,65%
95;{'n_estimators': 87, 'max_depth': 3, 'learning_rate': 0,13144897959183674};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,80%;69,20%;68,37%;65,71%;64,61%;"[[64  4  5  0]
 [11 31 13  5]
 [ 2  1 55  2]
 [ 4 12 14 14]]";10,20%
237;{'n_estimators': 48, 'max_depth': 14, 'min_data_in_leaf': 375, 'learning_rate': 0,8};Lighgbm;99,97%;99,05%;99,04%;98,79%;98,91%;"[[289   0   0   0]
 [  1 238   0   1]
 [  0   0 240   0]
 [  0   5   2 168]]";88,30%;67,51%;64,64%;64,95%;64,60%;"[[64  3  2  4]
 [ 9 30 10 11]
 [ 2  2 46 10]
 [ 4 14  6 20]]";11,67%
69;{'n_estimators': 64, 'max_depth': 8, 'min_data_in_leaf': 327, 'learning_rate': 0,13144897959183674};Lighgbm;97,40%;85,38%;86,55%;83,78%;84,29%;"[[271   3  10   5]
 [ 16 184  34   6]
 [  6   1 232   1]
 [  8  17  31 119]]";89,31%;68,35%;67,07%;65,33%;64,56%;"[[64  6  3  0]
 [ 8 28 19  5]
 [ 1  1 53  5]
 [ 3 11 13 17]]";8,09%
134;{'n_estimators': 48, 'max_depth': 17, 'learning_rate': 0,08253061224489797};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,52%;68,78%;67,71%;65,44%;64,49%;"[[64  6  2  1]
 [11 30 14  5]
 [ 2  2 54  2]
 [ 4  9 16 15]]";10,48%
24;{'n_estimators': 114, 'max_depth': 8, 'min_data_in_leaf': 279, 'learning_rate': 0,2455918367346939};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,60%;68,78%;65,05%;65,07%;64,24%;"[[67  2  3  1]
 [ 9 33 12  6]
 [ 1  2 49  8]
 [ 2 15 13 14]]";10,40%
48;{'n_estimators': 29, 'max_depth': 5, 'min_data_in_leaf': 183, 'learning_rate': 0,4575714285714286};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";88,09%;67,51%;64,80%;64,57%;64,23%;"[[63  5  4  1]
 [ 8 33 12  7]
 [ 2  4 47  7]
 [ 3 15  9 17]]";11,91%
299;{'n_estimators': 110, 'max_depth': 6, 'learning_rate': 0,7836938775510204};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,05%;69,20%;66,19%;65,48%;64,22%;"[[65  4  3  1]
 [ 8 32 13  7]
 [ 3  0 54  3]
 [ 5 13 13 13]]";9,95%
90;{'n_estimators': 64, 'max_depth': 17, 'min_data_in_leaf': 462, 'learning_rate': 0,3434285714285714};Lighgbm;98,65%;90,68%;91,05%;89,50%;89,93%;"[[277   2   7   3]
 [  9 209  17   5]
 [  4   0 235   1]
 [  3  17  20 135]]";89,39%;67,93%;65,31%;64,84%;64,21%;"[[65  3  4  1]
 [ 9 30 14  7]
 [ 3  1 49  7]
 [ 2 13 12 17]]";9,26%
222;{'n_estimators': 79, 'max_depth': 9, 'min_data_in_leaf': 49, 'learning_rate': 0,6532448979591837};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,55%;68,78%;69,04%;65,21%;64,19%;"[[63  5  4  1]
 [ 9 33 15  3]
 [ 3  2 54  1]
 [ 3 14 14 13]]";10,45%
27;{'n_estimators': 126, 'max_depth': 2, 'min_data_in_leaf': 289, 'learning_rate': 0,14775510204081632};Lighgbm;99,95%;97,78%;97,95%;97,59%;97,75%;"[[286   0   3   0]
 [  4 229   7   0]
 [  0   0 240   0]
 [  2   5   0 168]]";90,45%;68,78%;65,06%;65,07%;64,15%;"[[67  3  3  0]
 [ 9 32 12  7]
 [ 2  1 50  7]
 [ 2 16 12 14]]";9,51%
39;{'n_estimators': 13, 'max_depth': 13, 'min_data_in_leaf': 58, 'learning_rate': 0,6858571428571428};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";87,66%;67,51%;65,55%;64,42%;63,90%;"[[63  5  4  1]
 [ 9 32 14  5]
 [ 2  3 49  6]
 [ 3 11 14 16]]";12,34%
6;{'n_estimators': 83, 'max_depth': 1, 'min_data_in_leaf': 212, 'learning_rate': 0,7673877551020408};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,38%;67,51%;64,68%;64,34%;63,88%;"[[64  5  3  1]
 [ 9 33 13  5]
 [ 2  3 47  8]
 [ 4 14 10 16]]";10,62%
38;{'n_estimators': 103, 'max_depth': 14, 'learning_rate': 0,6858571428571428};XGBoost;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,72%;68,78%;65,16%;64,91%;63,69%;"[[65  3  3  2]
 [ 9 34 11  6]
 [ 1  3 52  4]
 [ 4 13 15 12]]";10,28%
148;{'n_estimators': 168, 'max_depth': 18, 'min_samples_leaf': 20, 'criterion': 'gini'};RandomForest;96,86%;77,86%;81,15%;74,84%;75,01%;"[[266   3  16   4]
 [ 15 159  58   8]
 [  7   0 233   0]
 [  4  25  69  77]]";88,27%;68,35%;69,30%;64,87%;63,63%;"[[64  4  5  0]
 [ 8 27 20  5]
 [ 0  3 57  0]
 [ 3 11 16 14]]";8,59%
276;{'n_estimators': 106, 'max_depth': 10, 'min_data_in_leaf': 366, 'learning_rate': 0,08253061224489797};Lighgbm;96,77%;84,64%;85,83%;82,78%;83,30%;"[[271   5  10   3]
 [ 14 185  33   8]
 [  8   0 231   1]
 [  9  19  35 112]]";88,65%;67,93%;67,00%;64,68%;63,59%;"[[65  3  4  1]
 [10 26 19  5]
 [ 1  2 54  3]
 [ 4 10 14 16]]";8,12%
89;{'n_estimators': 10, 'max_depth': 2, 'learning_rate': 0,017306122448979593};XGBoost;90,39%;73,62%;76,61%;70,89%;70,77%;"[[265   5  15   4]
 [ 45 124  60  11]
 [ 10   6 224   0]
 [ 14  20  59  82]]";84,14%;68,35%;68,20%;65,02%;63,50%;"[[64  4  4  1]
 [13 25 17  5]
 [ 2  0 58  0]
 [ 7 11 11 15]]";6,25%
290;{'n_estimators': 188, 'max_depth': 3, 'learning_rate': 0,033612244897959186};XGBoost;100,00%;99,26%;99,33%;99,23%;99,28%;"[[289   0   0   0]
 [  2 234   4   0]
 [  0   0 240   0]
 [  1   0   0 174]]";89,63%;68,35%;67,83%;64,80%;63,46%;"[[63  6  3  1]
 [10 30 16  4]
 [ 2  1 56  1]
 [ 5 12 14 13]]";10,36%
150;{'n_estimators': 118, 'max_depth': 6, 'min_data_in_leaf': 222, 'learning_rate': 0,441265306122449};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";89,51%;67,51%;63,62%;64,04%;63,39%;"[[64  3  3  3]
 [ 9 34 10  7]
 [ 1  2 48  9]
 [ 2 15 13 14]]";10,49%
168;{'n_estimators': 10, 'max_depth': 18, 'min_data_in_leaf': 164, 'learning_rate': 0,2618979591836735};Lighgbm;97,47%;85,49%;86,59%;83,60%;84,17%;"[[276   2   8   3]
 [ 10 190  32   8]
 [  6   5 227   2]
 [  8  12  41 114]]";88,49%;67,93%;68,20%;64,45%;63,30%;"[[62  6  4  1]
 [10 31 15  4]
 [ 2  3 55  0]
 [ 5 12 14 13]]";8,98%
260;{'n_estimators': 60, 'max_depth': 10, 'learning_rate': 0,017306122448979593};XGBoost;100,00%;99,79%;99,79%;99,79%;99,79%;"[[289   0   0   0]
 [  0 238   2   0]
 [  0   0 240   0]
 [  0   0   0 175]]";88,10%;67,51%;65,60%;64,42%;63,30%;"[[63  6  3  1]
 [13 26 14  7]
 [ 2  2 55  1]
 [ 4 13 11 16]]";11,90%
121;{'n_estimators': 149, 'max_depth': 14, 'min_samples_leaf': 20, 'criterion': 'gini'};RandomForest;96,84%;77,86%;81,07%;74,83%;74,97%;"[[267   3  15   4]
 [ 15 158  59   8]
 [  7   0 233   0]
 [  4  26  68  77]]";88,16%;67,93%;68,91%;64,46%;63,28%;"[[64  4  5  0]
 [ 8 27 20  5]
 [ 1  3 56  0]
 [ 3 11 16 14]]";8,68%
279;{'n_estimators': 137, 'max_depth': 14, 'min_data_in_leaf': 375, 'learning_rate': 0,033612244897959186};Lighgbm;94,66%;78,50%;80,89%;76,09%;76,36%;"[[266   8  13   2]
 [ 28 151  50  11]
 [  8   1 231   0]
 [ 11  20  51  93]]";87,39%;67,51%;68,22%;64,27%;62,98%;"[[65  4  4  0]
 [13 23 20  4]
 [ 1  2 56  1]
 [ 2 11 15 16]]";7,27%
247;{'n_estimators': 130, 'max_depth': 18, 'min_samples_leaf': 20, 'criterion': 'entropy'};RandomForest;97,10%;77,01%;80,51%;73,86%;73,91%;"[[268   2  15   4]
 [ 18 152  62   8]
 [  7   0 233   0]
 [  3  26  72  74]]";88,43%;67,93%;70,03%;64,38%;62,97%;"[[65  3  5  0]
 [11 25 20  4]
 [ 2  1 57  0]
 [ 2 10 18 14]]";8,67%
297;{'n_estimators': 21, 'max_depth': 10, 'min_data_in_leaf': 68, 'learning_rate': 0,3923469387755102};Lighgbm;100,00%;100,00%;100,00%;100,00%;100,00%;"[[289   0   0   0]
 [  0 240   0   0]
 [  0   0 240   0]
 [  0   0   0 175]]";90,08%;67,51%;64,79%;63,89%;62,94%;"[[64  5  4  0]
 [ 8 33 13  6]
 [ 3  2 50  5]
 [ 4 13 14 13]]";9,92%
